1,F,24,ADMS,255,001,BRIDGES,30,30,0,,,,,,STUDENT & COMM CNTRD EDC PLCY,48453
1,F,24,ADMS,256,C01,BROWN,30,30,1,,,,,,HUMAN DIMENSIONS OF LEADERSHIP,48367
1,F,24,ADMS,258,001,CASTRO,30,30,0,,,,,,CMMNTYBSD PART ACTN RSRCH,48425
1,F,24,ADMS,611,C51,ARMSTRONG,16,16,5,,,,,,SCHOOL LAW,37981
1,F,24,ADMS,616,C51,WILSON,16,16,2,,,,,,"HIGHER ED POLICY, LAW & FINANC",45915
1,F,24,ADMS,619,C51,NIELSEN,16,16,2,,,,,,HIGHER ED ADMINISTRATION,44563
1,F,24,ADMS,622,C51,TBD,16,16,6,,,,,,UNDERSTANDING DIVERSITY,42994
1,F,24,ADMS,629,000,PERKINS,16,16,0,,,,,,THE BUSINESS OF SCHOOLS,48454
1,F,24,ADMS,633,C51,BROWN,16,16,2,,,,,,MULTIPLE DIMENSIONS OF LEADSHP,37982
1,F,24,ADMS,633,C52,BROWN,16,16,0,,,,,,MULTIPLE DIMENSIONS OF LEADSHP,44908
1,F,24,ADMS,633,C53,BROWN,16,16,4,,,,,,MULTIPLE DIMENSIONS OF LEADSHP,47097
1,F,24,ADMS,655,C51,BRIDGES,16,16,2,,,,,,STUDENTCNTRD POLICY & COLBRTN,44561
1,F,24,ADMS,658,C51,CASTRO,16,16,4,,,,,,CMMNTYBSD ACTN RSRCH FOR EDU,45917
1,F,24,ADMS,670,C51,SEATON,16,16,1,,,,,,ADMINISTRATIVE INTERNSHIP I,37983
1,F,24,ADMS,700,C01,WILSON,3,3,0,,,,,,EXTERNSHIP,46765
1,F,24,ADMS,704,901,TBD,16,16,7,,,,,,EDU FINANCE POL & EQTBLE DISTR,47736
1,F,24,ADMS,707,901,BECKER,16,16,7,,,,,,THE POLITICS OF EDUCATION,47737
1,F,24,AFAM,105,001,MOITT,60,60,9,,,,,,SURVEY OF AFRICAN HISTORY,47973
1,F,24,AFAM,111,001,WINN BRYAN,60,60,60,,,,,,INTRO TO AFRICANA STUDIES,47962
1,F,24,AFAM,111,002,LEDBETTER,80,80,80,,,,,,INTRO TO AFRICANA STUDIES,45839
1,F,24,AFAM,111,003,LEDBETTER,60,60,60,,,,,,INTRO TO AFRICANA STUDIES,31657
1,F,24,AFAM,111,901,EDWARDS,60,60,52,,,,,,INTRO TO AFRICANA STUDIES,31656
1,F,24,AFAM,111,902,KA-RE,60,60,46,,,,,,INTRO TO AFRICANA STUDIES,42311
